Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),179.8306685818964,20.32646594026349,3.324597091918133,55.31270821197043,25.17877290945929
2-PreCS1 - M619_r2(Orange),151.98455598521147,17.07694693024046,2.4689894986962733,41.580456317213965,22.018811944226393
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,151.23455598521147,17.07694693024046,2.4689894986962733,41.580456317213965,22.018811944226393
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,140.34,16.55,2.82,39.12,24.9
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),139.84276361918998,15.845990353167785,3.0029525613207273,39.64302048274088,18.593048327665812
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),138.48032457251568,15.445386637747285,2.831922060263559,37.03815827284457,18.133545478805743
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),132.5759,15.44884,2.814,36.46850758,17.6434339
