Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),355.1097789359101,29.324078629730078,2.8840158756862664,256.0842476759821,27.601781231503235
2-PreCS1 - M619_r2(Orange),414.25770174039894,32.663379092010175,2.725367756219116,307.40068335322013,27.832135112292743
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,413.42829823433283,31.446452719605762,2.1442286062145794,311.4148459410114,25.656832768428742
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,414.1,31.391726926462884,3.9136452363984806,309.35642182224103,28.508176155686076
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),402.6350369956175,29.855914994826758,4.569944374731749,304.219650384443,25.786388335613648
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),335.6312498440359,27.51474528121769,2.9005960501089834,247.7110568747127,23.805532648976243
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),301.87283,26.25871,3.25,215.4115168,1.687514
