Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),49.91514766801715,7.330466130894479,0.0,13.10616051887307,3.149510694194542
2-PreCS1 - M619_r2(Orange),46.91467117992711,7.772774276706305,0.0,9.794685267595327,3.9173934216957393
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,46.16467117992711,7.772774276706305,0.0,9.947745177689736,4.151559937949726
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,46.91,7.77,0.0,9.79,3.92
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),41.1199283519582,7.492902542779102,0.0,9.435978473651028,3.307737130456056
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),39.033466784802144,6.999086355479813,0.0,8.565093359388229,3.281893978213681
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),40.537067,7.17996,0.0,9.181205881,3.30148318
