Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),287.93824032061343,35.177761196737244,2.9553006121273553,73.62408572832672,36.083731785575544
2-PreCS1 - M619_r2(Orange),267.2408619866775,24.653552364953125,2.9750148586442777,67.74808377216793,35.71686165872697
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,266.4908619866775,24.653552364953125,2.9750148586442777,67.74808377216793,35.71686165872697
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,266.4908619866775,24.653552364953125,2.9750148586442777,67.74808377216793,35.71686165872697
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),243.54768606547935,24.441181243350204,3.0744120092893876,60.68850094411622,30.498484886908823
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),245.15647482523798,23.02595155278738,3.946738294481545,64.10460480410902,30.551641042650495
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),242.4,24.44088,3.26,64.62185772,31.1628999
