Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),199.8365357339672,17.94232767796832,29.251693314125294,64.07096341704518,28.4588479458578
2-PreCS1 - M619_r2(Orange),182.0983707942695,21.472638861401883,20.391801830807612,52.10637722361416,30.380364077217738
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,180.35786241074,21.472638861401883,20.391801830807612,52.10637722361416,30.380364077217738
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,179.03,19.39,19.66,52.79,33.06
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),174.0582820175625,18.175441261137287,23.10106256711263,54.21801197588367,27.296349139861242
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),174.22974783823398,17.873336398004856,23.042577586751744,55.4643602265159,27.572980829748975
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),173.31398127270472,17.81605004967131,22.003549694160473,55.221941563964705,27.00613612378747
