Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),194.33099033797896,24.49524655416819,3.1903513136469055,94.20802837573623,25.25884877192876
2-PreCS1 - M619_r2(Orange),181.20715371211816,24.041365458985588,2.5062862332272537,84.82686408783326,25.125716572484567
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,169.35896735638062,22.92415232841093,2.2095262679688017,74.72982713082172,22.883049016883486
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,169.35896735638062,22.92415232841093,2.2095262679688017,74.72982713082172,22.883049016883486
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),155.39935965878624,19.283577381859875,2.7613956958137655,73.86792267283506,19.685901743866438
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),156.63,20.79,2.75,75.29,20.65
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),152.36644,19.09055,2.597,74.85000837,19.8391298
