Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),340.9250876750019,33.83360742139518,23.22307870925592,116.46010689335763,47.277920606039416
2-PreCS1 - M619_r2(Orange),305.472619957803,36.793071163112884,21.543416173912277,80.50458127635514,49.14525524152542
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,304.722619957803,36.793071163112884,21.543416173912277,80.50458127635514,49.14525524152542
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,304.722619957803,36.793071163112884,21.543416173912277,80.50458127635514,49.14525524152542
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),304.33795434349554,30.971715587666406,24.1615586369152,86.05981418639385,45.25312618524976
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),287.6767381459829,26.48476477091196,24.089054113811486,87.61714444207237,40.50660923807549
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),296.6619225145573,27.60600160506638,23.56054851502492,91.78581228497714,41.91797205507854
