Version,Metric,Value,Usecase
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,0.0,AU45A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,9.79,AU45A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,3.92,AU45A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,41.1199283519582,AU45A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,7.492902542779102,AU45A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,0.0,AU45A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,9.435978473651028,AU45A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,3.307737130456056,AU45A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,39.033466784802144,AU45A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,6.999086355479813,AU45A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,0.0,AU45A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,8.565093359388229,AU45A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,3.281893978213681,AU45A
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,40.537067,AU45A
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,7.17996,AU45A
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,0.0,AU45A
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,9.181205881,AU45A
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,3.30148318,AU45A
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,199.61508991215265,DOUYIN01W
1-FC - M523_AU298+M609_AU328-8(Blue),CX,22.458827767145785,DOUYIN01W
