Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),199.61508991215265,22.458827767145785,2.010373365724622,81.22930543116252,26.599180443964247
2-PreCS1 - M619_r2(Orange),177.146417023281,21.997414258104573,1.1947607028598795,68.29859974288588,25.512018526967573
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,152.28319840253084,19.960393963679284,1.047609729352689,52.948825705361045,23.364852262147657
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,152.28319840253084,19.960393963679284,1.047609729352689,52.948825705361045,23.364852262147657
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),136.53966892384068,18.99644520075063,1.4259155190335013,47.819348927533284,19.497195350666594
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),141.699725466469,18.92696139283345,1.4502369747710562,51.62409342896988,20.320411062343236
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),142.38776530599387,18.007026665556438,1.4951999517748515,53.48476429470287,19.076299076398787
