Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),126.57906976821153,15.501848835473277,8.186091275484541,45.252022313893896,17.67630149045873
2-PreCS1 - M619_r2(Orange),161.3708621812574,18.165163278311386,7.311929467258453,70.71554538820334,22.013721023583077
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,131.06264209032804,15.20978135280256,4.594305287658395,53.10856057408081,15.340173115420907
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,133.678741747856,14.94638925558455,5.0558788145036155,54.16872313516812,17.134238367930713
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),131.73680417221647,14.913965243226189,6.602073296020798,59.214021717277866,15.778319310911128
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),131.73680417221647,14.913965243226189,6.602073296020798,59.214021717277866,15.778319310911128
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),128.44308,15.01258,6.286,56.84338367,1.895505
