Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),156.7089943475506,16.19926665314982,0.0,36.910770387692544,7.406016711876655
2-PreCS1 - M619_r2(Orange),146.64697615781748,17.08527754181644,0.0,22.063410176671308,7.55188988831362
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,145.89697615781748,17.08527754181644,0.0,22.063410176671308,7.55188988831362
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,145.44,15.05,0.0,19.03,9.69
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),135.70320702959734,13.140255796830658,0.0,18.549475711516525,5.790999429338364
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),134.87283518906565,13.28443216629275,0.0,18.072966817627606,6.271283925436673
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),136.03432,13.50706,0.0,18.81825374,5.73915418
