Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),437.5833082869657,34.155524682245094,11.90612524354047,210.81484817627515,46.96277886282655
2-PreCS1 - M619_r2(Orange),379.72962407343647,34.173822350367196,16.937053462033457,140.33234791227247,48.75343782799688
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,378.97962407343647,34.173822350367196,16.937053462033457,140.33234791227247,48.75343782799688
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,378.97962407343647,34.173822350367196,16.937053462033457,140.33234791227247,48.75343782799688
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),380.30114049333287,28.68528923162447,17.341782825253308,153.62286155143929,44.9340528101428
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),366.0168612587432,40.5629038705628,16.564010445675176,119.31956348058478,54.38517646937171
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),377.30728933234263,40.4150627830697,17.57236896293134,129.51562933597907,54.60946002833932
