Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),268.5830344076279,34.4799474189524,9.623642521941276,101.0996552654693,38.4480332201044
2-PreCS1 - M619_r2(Orange),234.52013319756543,32.97337810556907,6.27464149391114,85.23538846964911,35.53053766798359
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,225.051934048968,33.41909383796222,5.534805017498148,81.26991167250424,33.14771903641057
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,223.51,29.53,6.11,80.68,36.02
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),199.1262961902529,26.98385857975875,7.094806538033591,71.0858160637309,27.580208709368243
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),202.06257721214115,26.06207517308608,7.2106939048615635,74.40528533680495,27.79865875264037
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),194.57039,25.25802,6.798,71.69701058,27.6042975
