Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),153.35929398908934,21.002472380016513,8.438606531702103,59.754780449095946,20.14672242867604
2-PreCS1 - M619_r2(Orange),132.73620003174972,17.333304343456554,4.864634513596601,54.260798567578696,18.212683093286557
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,116.61459961493324,16.909518441024005,4.52280205092638,41.552399482764514,17.93822268404937
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,116.61459961493324,16.909518441024005,4.52280205092638,41.552399482764514,17.93822268404937
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),113.1809170756095,16.66856648783187,5.847092412457775,42.99117662448439,16.538868912016028
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),112.40346952180664,15.956335068355697,5.6020457841494755,40.77764817259787,15.730024445176825
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),107.60741,15.46346,5.476,39.10974615,15.468744
