Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),410.91697050206324,56.717735286660265,20.462611488684075,134.763223945055,88.8799960508144
2-PreCS1 - M619_r2(Orange),405.8713499508955,52.58995802155353,14.682256737819118,146.81451512912483,78.1577429247805
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,405.1213499508955,52.58995802155353,14.682256737819118,146.81451512912483,78.1577429247805
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,347.45,47.22,11.95,110.7,71.27
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),314.69551081837477,34.07123239899063,30.439157038886417,82.80995380962186,60.58014096120146
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),314.69551081837477,34.07123239899063,30.439157038886417,82.80995380962186,60.58014096120146
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),265.13,31.37111,16.64,84.44127429,49.6103651
