Version,Adjusted,CX,GFX,Total CPU,Total Memory
1-FC - M523_AU298+M609_AU328-8(Blue),36.6364818718293,5.472668844694633,0.0,3.479055248114554,4.7336663452866246
2-PreCS1 - M619_r2(Orange),36.14355767482557,4.875640179836979,0.0,4.710213575450659,4.847131017039274
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,35.39355767482557,4.875640179836979,0.0,4.710213575450659,4.955972184054661
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,33.22,4.37,0.0,3.34,4.45
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),29.147831354950434,4.174337613007314,0.0,2.7458033557298895,3.7802300151450408
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),29.147831354950434,4.174337613007314,0.0,2.7458033557298895,3.7802300151450408
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),27.689079755070956,3.911797595275348,0.0,2.1387362114170005,3.5802386459369737
